"('date', '')","('close', 'rr.l')","('high', 'rr.l')","('low', 'rr.l')","('open', 'rr.l')","('volume', 'rr.l')"
2025-03-03,776.7356567382812,798.3339045422291,766.5364892500365,775.3358092979977,37579526
2025-03-04,786.3348999023438,797.933914854097,776.5356626502296,784.7349957858285,32908635
2025-03-05,805.13330078125,816.1323894229881,796.1340464380097,804.9333051453802,48724978
2025-03-06,804.7333374023438,812.332744618098,792.5343355526579,810.5328448629841,32645535
2025-03-07,801.3336181640625,813.132628177002,800.7336312636834,806.3332038500622,31808188
2025-03-10,732.7392578125,811.932706406984,732.7392578125,808.3330291650021,109187068
2025-03-11,747.3380737304688,748.5379254404854,719.540329199872,738.1388240963927,32601477
2025-03-12,780.935302734375,780.935302734375,750.3378620200747,756.1373693478054,24028446
2025-03-13,771.3361206054688,785.9348867099235,766.3365348121487,783.335126509437,17464226
2025-03-14,796.3340454101562,798.3338797170326,772.9359596076645,778.9354625282932,21962657
2025-03-17,801.5335693359375,806.5331551252837,788.3347116761436,795.734062026316,39386164
2025-03-18,811.1328125,813.9325683423319,795.3341335760338,801.9335624208234,15554294
2025-03-19,812.732666015625,817.9322475212915,802.6105186322392,808.5330016829673,18681274
2025-03-20,796.5339965820312,815.5324228924597,783.3351387062354,810.932828303028,28678742
2025-03-21,800.5336303710938,805.5332160242484,791.5343761954152,792.1343630918528,24201521
2025-03-24,789.9345703125,809.1329923286468,787.5347446741937,801.5335851607443,13026531
2025-03-25,801.7335815429688,805.1333243620267,785.9349023281434,789.9345710422815,42392553
2025-03-26,801.5335693359375,815.1324793010191,793.5342320729836,802.9334777689944,16023158
2025-03-27,796.9339599609375,798.1338727340252,782.9351200118118,794.934125682491,10855888
2025-03-28,771.1361083984375,791.7343770122847,769.7361999943474,789.9345383713822,13973476
2025-03-31,748.9379272460938,761.3369240184154,734.5390962221136,756.5372729903567,28326862
2025-04-01,779.33544921875,785.5649135184046,752.3376862346838,756.537289430348,31386457
2025-04-02,755.7373657226562,778.3355298098718,748.5379500751354,774.7357914710617,13297549
2025-04-03,745.9381713867188,748.5379314862151,727.1397417400971,734.5390918087164,20386194
2025-04-04,658.9453735351562,745.9381618470812,649.9461195718536,743.5383363781618,56625803
2025-04-07,635.747314453125,725.93985397065,562.0474270306125,591.9509553038909,65354737
2025-04-08,679.1437377929688,689.9428307641265,640.146969097605,642.5467336300294,38882657
2025-04-09,663.5449829101562,679.9436482505921,644.3466228424534,664.1449698060833,47280968
2025-04-10,693.54248046875,789.9345139213135,691.3427116591225,789.9345139213135,32741353
2025-04-11,693.7424926757812,699.1420695905039,674.1441413373401,695.5423313039894,70247723
2025-04-14,709.5411987304688,719.5403704207521,693.7425196658411,710.1411856499461,12695568
2025-04-15,731.7393798828125,733.7392142421697,710.3411888557503,710.3411888557503,21759808
2025-04-16,724.1400146484375,729.3395960517794,712.7409346884225,727.139766108431,44747977
2025-04-17,714.4000244140625,724.7999877929688,701.5999755859375,724.4000244140625,38524513
