"('date', '')","('close', 'ezj.l')","('high', 'ezj.l')","('low', 'ezj.l')","('open', 'ezj.l')","('volume', 'ezj.l')"
2024-09-23,512.6752319335938,520.4733221169615,508.48026886120454,520.27341958994,2593230
2024-09-24,509.87591552734375,525.8720226811428,417.1134867245478,519.4735554115007,3636343
2024-09-25,521.0731811523438,522.4728038581347,511.8754077158882,511.8754077158882,3784787
2024-09-26,530.4708862304688,538.8209050462046,526.4718593881123,528.871299901649,6652536
2024-09-27,540.068603515625,542.1920492443043,530.4709021929788,531.2707564017643,3713198
2024-09-30,519.8734741210938,537.4691672986087,519.8734741210938,534.4698972556024,11051727
2024-10-01,501.47796630859375,528.8672664182985,499.0085660417159,521.8729968656817,5410731
2024-10-02,483.8822326660156,498.8535950369998,482.582561187296,496.3791911542908,5974191
2024-10-03,480.1831359863281,492.18021651575697,474.3845592678323,481.8827345987253,3732235
2024-10-04,492.8800354003906,496.47916549317443,478.683478566136,479.7832169986744,3215535
2024-10-07,490.7805480957031,502.4777134554241,488.481119935831,498.0787901655825,2577481
2024-10-08,493.87982177734375,497.17900676329276,483.53935091477643,487.5813666186578,2931273
2024-10-09,497.47894287109375,502.67765943477485,491.5803844093433,493.87981262845085,2107377
2024-10-10,496.57916259765625,498.57867598760424,487.88126714732107,496.9790591736152,2491432
2024-10-11,495.47943115234375,502.67766115206734,491.4804043157795,498.0788046981412,2470252
2024-10-14,502.07781982421875,508.8551620986492,489.48087948082224,497.7788477690895,2159207
2024-10-15,517.8739624023438,526.5718577587222,507.67643201970367,509.6759453880525,5685484
2024-10-16,527.271728515625,527.8715581508548,510.593749252498,514.8747205448678,4342399
2024-10-17,524.6723022460938,530.6948234068809,519.6735187623842,529.4711221863937,9241508
2024-10-18,520.4733276367188,525.1612128019499,515.808508147927,521.8730114625577,2370456
2024-10-21,507.47650146484375,520.8732349961105,507.47650146484375,519.8734783070585,3451011
2024-10-22,513.8749389648438,519.1236615904575,503.4774754847063,506.6766785885124,2607093
2024-10-23,510.27581787109375,515.7034826402662,507.6764443271937,512.6752278692502,1683477
2024-10-24,511.47552490234375,519.473547852712,508.8761514256439,512.2753485544874,1285324
2024-10-25,506.47674560546875,513.8749390145425,506.47674560546875,509.47601567753804,1539609
2024-10-28,520.2734375,528.6713575941397,514.4618022034625,519.873510391575,3718202
2024-10-29,510.67572021484375,520.6732874117682,502.2777698714579,518.0739443486909,6348469
2024-10-30,515.6744995117188,521.2731737074788,508.2763059497387,512.4752658313283,3871671
2024-10-31,510.67572021484375,519.0956683791188,504.4772468588428,511.47554389668994,3193945
2024-11-01,520.8732299804688,520.8732299804688,500.8801100620367,504.47722653992787,5608925
2024-11-04,524.2724609375,524.2724609375,516.4743095184131,518.6737865591732,2607614
2024-11-05,536.6693725585938,536.6693725585938,520.4733021705629,522.8727426059397,3109034
2024-11-06,534.27001953125,550.6659932484425,533.6441342313872,536.0695694365103,14254270
2024-11-07,536.6693725585938,540.9803350701268,528.271453075385,536.8693360982593,7650677
2024-11-08,541.268310546875,555.1349313186389,538.0690768510441,541.8681401684588,6789165
2024-11-11,541.8681030273438,546.0670931515425,536.8693197890841,537.869076436736,8094308
2024-11-12,521.273193359375,540.6544640277818,519.0737163074175,536.869374236329,3122761
2024-11-13,519.273681640625,527.4716381946248,519.0737180860692,525.6720882442421,7600080
2024-11-14,517.2741088867188,522.2259064434909,513.4749848462427,520.073415268936,4443515
2024-11-15,536.6693725585938,536.6693725585938,514.0028920834349,516.2743729391111,3403180
2024-11-18,524.2724609375,542.6679484140647,522.4728499821359,542.2680823286686,2010553
2024-11-19,526.0719604492188,529.1141886870781,509.47599398825713,523.4725565519029,2848426
2024-11-20,516.2743530273438,527.4715785730987,508.4762329334335,524.6722721866599,4509054
2024-11-21,511.67547607421875,529.2712309234055,511.4755430367087,521.8730068019975,6362133
2024-11-22,516.4743041992188,519.2736718697058,511.47555104108665,514.6747542826973,6331391
2024-11-25,538.26904296875,543.8676561979589,521.5510651937171,527.2717190382766,4942477
2024-11-26,540.2685546875,542.6599405376679,531.8705738501639,534.6698804558401,7882491
2024-11-27,538.069091796875,563.8628035866716,531.2707581420904,544.8674254516595,7588237
2024-11-28,552.265625,558.6640312621608,539.8686175228346,540.4684471341818,6433156
2024-11-29,552.6654663085938,558.8639697694896,548.0666101068052,554.2651135677011,3100456
2024-12-02,546.6669311523438,552.6264791563048,541.8681113737587,548.8664080151173,2835501
2024-12-03,564.66259765625,573.2605422797646,551.8657235178686,552.6655167102094,9242263
2024-12-04,565.8623046875,569.8613315757509,563.1939476502026,567.2619885065109,3034229
2024-12-05,575.659912109375,576.2598027587048,565.4623812738492,566.2622354729557,4128044
2024-12-06,574.26025390625,579.0590737035662,567.748838246219,576.2597672401571,8575508
2024-12-09,578.059326171875,584.6567195450375,572.8605792174981,574.8600925830042,10844235
2024-12-10,577.0595703125,582.2583172742948,574.4601663214498,575.4599230056294,2627100
2024-12-11,577.259521484375,579.0590712732779,571.0610179712169,578.2592781471326,2365741
2024-12-12,582.858154296875,593.8554779628538,574.4601736347323,574.4601736347323,4156612
2024-12-13,586.457275390625,588.2568863269497,578.0223771355354,582.2583459266898,3015794
2024-12-16,581.258544921875,590.6562208876585,580.3967551715049,582.8581311653221,2971577
2024-12-17,577.4594116210938,584.0508247311955,573.8603121204455,579.0590588593951,2648420
2024-12-18,580.858642578125,582.8581559777055,573.2605160678418,579.8588858783348,3917805
2024-12-19,573.260498046875,574.8600843081324,562.8630042877887,572.260741378513,2978671
2024-12-20,571.4608764648438,574.2602438997783,565.8622636355813,569.0614971181469,2851093
2024-12-23,570.4611206054688,577.059551113707,568.6615708378778,573.0605245100365,1899385
2024-12-24,573.260498046875,577.8593543132182,568.6615807602273,570.8610576346845,637238
2024-12-27,563.262939453125,575.4599221660767,562.263182770404,570.8610658336823,1266408
2024-12-30,560.6635131835938,565.4623328658755,550.8659102863722,558.863963430276,1250879
2024-12-31,559.86376953125,564.862553187779,556.464572236687,560.4635991619101,616301
2025-01-02,557.264404296875,565.0794579322021,547.8666669878659,562.4630902768655,2843717
2025-01-03,540.2685546875,556.8644917942505,535.8296324198179,555.264905453952,5145749
2025-01-06,535.06982421875,542.2680850149377,523.8725364269368,539.8686444094386,3514214
2025-01-07,537.6691284179688,537.8690919573299,528.0714887316849,535.6696150649675,3131062
2025-01-08,522.4728393554688,540.4684603806212,517.5900553425711,539.4687036570016,3551193
2025-01-09,517.2741088867188,520.7392688110123,511.8753986336336,518.8736950993278,4377546
2025-01-10,507.6764221191406,518.6737454305924,500.27822890255806,515.2746093828716,3953646
2025-01-13,494.07977294921875,507.47650661648214,491.8802960069152,505.8768897957299,3799759
2025-01-14,493.6798400878906,501.6778935879627,493.27994351491753,499.1785018691902,2757898
2025-01-15,506.07684326171875,507.8763930803835,493.2799394606884,493.2799394606884,4580477
2025-01-16,497.37896728515625,508.07637637354173,484.68204476044855,503.87738595320354,13217120
2025-01-17,503.87738037109375,509.2760604873248,496.179241522474,508.07637074491424,5786160
2025-01-20,506.87664794921875,513.692982309654,502.8776211409409,506.2767878259464,3931970
2025-01-21,511.07562255859375,512.675208824508,500.78811786835644,505.8768756639155,7343958
2025-01-22,484.6820373535156,500.87810814427814,483.5823293884672,486.88151430391906,16132149
2025-01-23,489.08099365234375,492.38017858397194,479.2833596099615,485.48186340228807,4648522
2025-01-24,486.3816223144531,498.6786172110454,485.6817804379973,487.8812573267279,8270191
2025-01-27,492.2801818847656,502.4777121990324,485.18190337268993,489.580857161685,12470297
2025-01-28,495.37945556640625,499.2785006787226,488.88103687582776,490.4806537324625,2124818
2025-01-29,490.58062744140625,501.29802054146256,490.58062744140625,495.3794474222629,2533281
2025-01-30,511.47552490234375,514.4747644398864,489.98075622719375,491.28042771046734,5499686
2025-01-31,511.67547607421875,515.9234658008477,508.4762728826742,510.2758227710334,6950849
2025-02-03,505.87689208984375,507.27654537304187,497.2789783356932,498.87859516369963,2409947
2025-02-04,502.87762451171875,514.0749118540132,502.87762451171875,506.47675476532436,3015443
2025-02-05,504.87713623046875,504.87713623046875,494.47967259626796,502.877622819655,5815673
2025-02-06,529.0712280273438,530.0709846710008,506.0768252232328,509.2760281768443,5577667
2025-02-07,529.8710327148438,537.9530499775454,526.471835644023,528.271446458166,3333340
2025-02-10,523.0726928710938,529.0712327870001,522.0729362184427,527.8715125997581,2265799
2025-02-11,509.07611083984375,524.872254092274,493.92278598872656,523.0727042823044,12711013
2025-02-12,519.6735229492188,521.0732067440567,512.0753964008871,514.474775880215,3375520
2025-02-13,520.6732788085938,536.100554761333,517.2741426299884,527.4716121861109,4728059
2025-02-14,518.4738159179688,524.0724902197528,513.0751661866117,520.6732929286586,3481655
2025-02-17,523.4725952148438,525.6720722072371,514.8747118140335,514.8747118140335,3499589
2025-02-18,517.4740600585938,526.6718341967625,513.4750331307212,519.8735006234406,3066608
