"('date', '')","('close', 'bp.l')","('high', 'bp.l')","('low', 'bp.l')","('open', 'bp.l')","('volume', 'bp.l')"
2025-01-29,416.344482421875,419.04413468255353,412.0950490015353,416.54446796470666,51549072
2025-01-30,421.44378662109375,422.993567699825,415.24460127915245,417.24433454900344,28815750
2025-01-31,422.44366455078125,425.94319786658656,419.4440645658053,423.44353121243995,52394739
2025-02-03,419.9440002441406,426.94306691487634,410.1453191105144,416.9444002423968,47210612
2025-02-04,422.1437072753906,422.4986404036611,411.34512926393217,414.4947030747086,46640495
2025-02-05,423.89349365234375,427.19304151009567,421.3438152954357,422.44367475252295,50277715
2025-02-06,428.94281005859375,435.99185801848836,424.293436052269,424.3934288239823,36040516
2025-02-07,433.1922302246094,435.4419302084648,428.39288246445466,429.0427896904222,79059373
2025-02-10,465.0879821777344,468.88749388681975,454.9393414330829,461.3384821109782,104471976
2025-02-11,462.1883544921875,469.7873470613913,455.93918799012977,468.6375065277144,50335807
2025-02-12,468.6875,472.1870333333333,453.98944779459634,459.9386666666667,24815171
2025-02-13,463.838134765625,468.93746080458124,460.83853480312234,464.93799418791104,43959044
2025-02-14,467.73760986328125,469.78735481790386,460.23860993699833,463.08823601168757,49636369
2025-02-17,462.68829345703125,465.93786007774514,462.4383267938994,465.6379122873904,11120120
2025-02-18,462.3383483886719,466.7377556937599,460.38862666377986,462.3883600309571,23265012
2025-02-19,463.23822021484375,469.6873725003481,461.53846516850433,466.9377391328634,31834480
2025-02-20,452.0,454.1499938964844,448.1499938964844,452.6000061035156,62815077
2025-02-21,447.5,452.0,445.79998779296875,450.3999938964844,86698966
2025-02-24,446.5,450.3500061035156,444.70001220703125,448.3999938964844,29505331
2025-02-25,436.8999938964844,449.3999938964844,436.8999938964844,444.79998779296875,59017141
2025-02-26,430.8999938964844,443.0,425.1000061035156,436.8500061035156,69134691
2025-02-28,437.3500061035156,439.8500061035156,431.70001220703125,436.54998779296875,68589964
2025-03-03,432.75,441.1000061035156,432.75,437.8999938964844,101741803
2025-03-04,408.0,420.0,406.1000061035156,416.8500061035156,117915456
